SITECODE,Latitude,Longitude,ELEV,ELEV_Cate,Location,Continent,Country,Cite,Genus.spp,TaxGroup,Order,Family,Genus,Species,GF,DecEv,SLA,Amass,Aarea,Nmass,Narea,PPTmean,PPTmin,PPTmax,PPTcv,PPTseason,RH,TMPmean,TMPmin,TMPmax,TMPrange,TMPiso,TMP0gs,TMP5gs,TMP0nb,TMP5nb,SUNmean,SUNmin,SUNmax,SUNrange,PAR0,PAR5,RAD,PETf,PETq,Mif,Miq,ALU,SODIUM,CARB,TBA,SBA,SALT,Ntot,CN,AWHC,pH,CECS,CECC,BULK,CLAY,SILT,SAND,GRAVEL,Corg,DEPTH,Pavail,P.Distance
192,8.97,-79.53,30,Very Low,Panama,Central America,Panama,"Kitajima, K., Mulkey, S. S. & Wright, S. J. Seasonal leaf phenotypes in the canopy of a tropical dry forest: Photosynthetic characteristics and associated traits. Oecologia 109, 490-498 (1997).",Acardium excelsum,Angio,Rosales,Urticaceae,Acardium,caracasa,T,D,110.840909,162.144614,15.25,2.388333333,2.21906,1656.692,12.9,286.2,0.62247163,0.340450965,84.6,26.2667,25.7,28.1,80,76,810.8064148,658.7230815,30.41666667,30.41666667,50.1833333,42.6,63.7,21.1,1228.974044,1228.974044,182.8333333,1427,1431.482131,1.160961458,1.157326335,19.2,2,21.67816853,26.52,85.4,6.981999995,2.899999951,8.689999323,9.3,6.6,10,75.2,1.085,21,29,50,7,20,182,9.345266667,1
193,43,141.6,100,Very Low,Japan,Asia,Japan,"Koike, T. Leaf structure and photosynthetic performance as related to the forest succession of deciduous broad-leaved trees. Plant Species Biology 3, 77-87 (1988).
Koike, T., Kitao, M., Maruyama, Y., Mori, S. & T.T., L. Leaf morphology and photosynthetic adjustments among deciduous broad-leaved trees within the vertical canopy profile. Tree Physiology 21, 951-958 (2001).
Kikuzawa, K. Leaf survival of woody plants in deciduous broad-leaved forests. 1. Tall trees. Canadian Journal of Botany 61, 2133-2139 (1983).",Acer mono,Angio,Fagales,Betulaceae,Acer,ailanthifolia,T,D,137.3797289,106.7614072,7.927489187,2.757142857,2.074642857,1216.483,65.6,167.2,0.31840848,0.186663779,75.35,6.76667,-5.6,21.4,83,23,263.7434691,165.2866385,21.75,17.66666667,39.3666667,31.2,45.7,14.5,714.2800518,622.4786205,118.5833333,699,684.4475411,1.740319027,1.777320388,4,1.7,0.781,25.805,88.4,0.1,5.999499965,11.25449867,20.15,6.4,16,46.05,1.369,21,39,40,2,21,22,14.67526667,50
194,34.3239196,-118.64652,313,Low,CorralCanyon.CA_S1,North America,United States,"Kolb, K.J. & Davis, S.D. (1994) Drought Tolerance and Xylem Embolism in Co-Occurring Species of Coastal Sage and Chaparral. Ecology, 75(3), 648-659.",Salvia mellifera,Angio,Lamiales,Lamiaceae,Salvia,mellifera,S,E,120.5,300.045,24.9,2.79,2.3153527,380.1,1.5,93.2,0.99388648,0.644596224,66.2,15.95833333,11.1,22.9,131,46,500.4046844,348.3213511,30.41666667,30.41666667,71.4916667,65.2,80.9,15.7,1300.621725,1300.621725,171.75,1344,1252.179272,0.2828125,0.303550784,4,1.7,70.7875,24.77,96.7,0.239999997,0.850500003,9.100999479,14.8,6.7,16,39.4,1.463,17,25,58,11,16,100,9.766666667,70.90499659
195,34.0615679,-118.71605,313,Low,CorralCanyon.CA_S2,North America,United States,"Kolb, K.J. & Davis, S.D. (1994) Drought Tolerance and Xylem Embolism in Co-Occurring Species of Coastal Sage and Chaparral. Ecology, 75(3), 648-659.",Ceanothus megacarpus,Angio,Rosales,Rhamceae,Ceanothus,megacarpus,S,E,47.2,79.768,16.9,2.07,4.38559322,380.1,1.8,88.1,0.9930661,0.643561558,68.975,15.95833333,11.9,21.2,121,53,486.0597081,333.9763748,30.41666667,30.41666667,70.9916667,65.6,79.7,14.1,1295.965873,1295.965873,171.75,1249,1228.601957,0.304323459,0.309376033,4,1.2,0.562,11,86.6,0.1,0.93,9.981999722,12.9,6.1,16,40,1.478,19,30,51,11,21,100,9.766666667,89.19270067
196,68,19.5,400,Medium,Sweden,Europe,Sweden,"Kudo, G., Molau, U. & Wada, N. Leaf-trait variation of tundra plants along a climatic gradient: an integration of responses in evergreen and deciduous species. Arctic, Antarctic, & Alpine Research 33, 181-190 (2001).
+ Cornelissen Johannes, Kudo Gaku, Unpublished work",Betula pubescens,Angio,Ericales,Ericaceae,Vaccinium,myrtillus,S,E,234.5225909,73.22857143,4.398554623,1.655307536,1.098137544,445.784,20.1,77.7,0.5125065,0.2868155,81.3,-2.325,-15.5,10.3,77,23,75.94854133,25.140208,12.25,7.916666667,21.6416667,5.9,32.9,27,367.8881116,263.8314611,75.58333333,354,298.8532546,1.259276836,1.491648412,8.25,1.73,66.4462,9.117,42.9,0.1,5.627649877,18.49265102,23.715,5.2,11,65.63,1.214,6,24,70,27,88,80,87.76733333,63.21460904
197,49.7,12,435,Medium,Germany,Europe,Germany,"K√ºppers, M. Carbon relations and competition between woody species in a Central European hedgerow. 1 Photosynthetic characteristics. Oecologia 64, 332-343 (1984).",Acer campestre,Angio,Rosales,Rosaceae,Acer,_x_macrocarpa,S,D,120.6,129.6,10.6,2,1.726544838,652.222,37.5,74.5,0.23837199,0.131047899,78.3833333,7.15,-2.4,16.9,83,30,240.9030675,135.9640798,24.16666667,18.16666667,32.3083333,14.2,45.2,31,713.5005423,630.8655717,106,644,628.4537464,1.012767081,1.037820197,27.3,1.35,19.28994292,5.365,43.15,0.1,1.635000016,15.36150155,15.6,5.5,11,70.95,1.287,5,19,75,16,51,120,50.102,16.64332122
198,45.41,-93.21,300,Low,United States,North America,United States,"Lee, T., Barrott, S.H. & Reich, P.B. (2011) Photosynthetic responses of 13 grassland species across 11 years of free-air CO2 enrichment is modest, consistent and independent of N supply. Global Change Biology, 17, 2893‚Ä?904.",Achillea millefolium,Angio,Poales,Poaceae,Achillea,canescens,G,N,158.8020815,209.2307692,13.51845162,1.998482426,1.310363065,729.738,18.7,106,0.52589368,0.348234619,68.7166667,6.31667,-12.8,21.5,117,25,261.6836418,170.3254451,19.75,16.66666667,57.225,38.4,72,33.6,849.0444833,767.8013419,127,971,831.3553974,0.751532441,0.877768956,22,2.4,1.267,16.7,85,0.1,5.376500088,12.74199905,19.95,6.4,18,51.3,1.498,20,32,48,6,33,165,2.183333333,125.9938661
199,-36.84,-73.03,30,Very Low,Chile,South America,Chile,"Lusk-adults_Concepci?n - Lusk, C.H., Wright, I.J. & Reich, P.B. (2003) Photosynthetic differences contribute to competitive advantage of evergreen angiosperm trees over evergreen conifers in productive habitats. New Phytologist, 160(2), 329-336.",Cryptocarya alba,Angio,Canellales,Cunoniaceae,Cryptocarya,alba,T,E,69.66666667,68.18333333,9.666666667,1.096666667,1.571734243,1308,20,265.7,0.8259867,0.521516702,81.15,12.8833,8.7,16.7,105,55,374.6036901,222.5203568,30.41666667,30.41666667,58.6666667,38,76.8,38.8,1142.768763,1142.768763,183.417,912,989.6061642,1.434210526,1.321737915,22,1,97.715,19.74,85.8,0.03,1.219999999,10.79750107,12,5.6,14,41.4,1.065,31,15,54,7,25,50,77.2423077,250
200,-37,-71.47,1000,Very High,Chile,South America,Chile,"Lusk-adults_Los Lleuques - Lusk, C.H., Wright, I.J. & Reich, P.B. (2003) Photosynthetic differences contribute to competitive advantage of evergreen angiosperm trees over evergreen conifers in productive habitats. New Phytologist, 160(2), 329-336.",Austrocedrus chilensis,Gymno,Podocarpales,Podocarpaceae,Austrocedrus,andi,T,E,71,53.02,7.32,0.994,1.491685822,1308,27.3,266,0.7552946,0.479170646,59.8833333,6.6,3.1,15.9,141,56,279.0003696,136.6281899,30.41666667,22.41666667,61.5083333,44.3,76.7,32.4,1192.620435,1033.648833,179.8333333,1128,1016.993727,1.159574468,1.286143626,1.75,1,58.629,9.36,56,0.079999999,3.496999935,12.15800121,21.8,6,28,66.2,0.757,14,28,59,38,57,190,77.2423077,250
201,-39.8,-73,400,Medium,Chile,South America,Chile,"Lusk-adults_Puyehue - Lusk, C.H., Wright, I.J. & Reich, P.B. (2003) Photosynthetic differences contribute to competitive advantage of evergreen angiosperm trees over evergreen conifers in productive habitats. New Phytologist, 160(2), 329-336.",Aextoxicon punctatum,Angio,Myrtales,Myrtaceae,Aextoxicon,apiculata,T,E,71.25,61.825,8.475,1.043333333,1.467052097,3200,54.9,317.8,0.64207046,0.406968553,82.0833333,10.625,6.8,16.1,108,54,336.7755331,184.6921998,30.41666667,30.41666667,56.85,37.4,73.4,36,1096.994729,1096.994729,167,848,939.3978487,3.773584906,3.406437375,28.2,1.2,39.086,5.01,31.5,12.14699997,1.280000012,11.37699968,15.2,5.5,17,23.3,1.108,34,18,48,19,43,120,77.2423077,250
205,41,-5.7,900,Very High,Spain,Europe,Spain,"Mediavilla, S. & Escudero, A. (2003) Photosynthetic capacity, integrated over the lifetime of a leaf, is predicted to be independent of leaf longevity in some tree species. New Phytologist, 159, 203‚Ä?11.
Mediavilla, S. & Escudero, A. (2003) Relative growth rate of leaf biomass and nitrogen content in several mediterranean woody species. Plant Ecology, 168, 321-332.",Crataegus monogy,Angio,Fagales,Fagaceae,Quercus,bourgea,T,D,66.5599012,99.51666667,14.01666667,2.101666667,3.045,513.091,10.1,58.8,0.36318693,0.19891451,67.0833333,11.8167,3.9,21.2,118,39,358.4775356,210.0220703,30.41666667,25.33333333,57.0166667,36,80.3,44.3,1115.421108,1042.53262,161.6666667,1095,1021.150301,0.468576256,0.502463713,13.4,1.2,0.6,10.8,89,0.1,0.873,9.610999729,12.75,7.2,21,42.2,1.442,27,36,36,15,12,155,53.79746667,6.628466003
211,35.6,140.158,20,Very Low,Japan,Asia,Japan,"Miyazawa, S., Satomi, S. & Terashima, I. Slow leaf development of evergreen broad-leaved tree species in Japanese warm temperate forests. Annals of Botany 82, 859-869 (1998).",Castanopsis sieboldii,Angio,Fagales,Fagaceae,Castanopsis,myrsiefolia,T,E,75.4808841,94.39904443,12.75,1.8,2.41625,1790.39,69,208.5,0.34421525,0.12464137,74.2583333,14.7417,5.3,25.5,64,23,456.1448394,304.0615061,30.41666667,30.41666667,42.8416667,29.7,55,25.3,945.0489058,945.0489058,135.833,932,881.1042383,1.921019313,2.031984255,13.5,1.7,0.781,25.805,88.4,0.1,5.999499965,11.25449867,20.15,6.3,15,46.05,1.235,11,41,48,4,19,60,2.09475,157.6606055
212,36.46,-116.86,-59,Very Low,United States,North America,United States,"Mooney_etal_81_desert - Mooney, H. A., Field, C., Gulmon, S. L. & Bazzaz, F. A. Photosynthetic capacity in relation to leaf position in desert versus old-field annuals. Oecologia 50, 109-112 (1981).",Abronia villosa,Angio,Myrtales,Ograceae,Camissonia,brevipes,H,N,139.8,425.2,30.38,4.212,2.992,133.361,0.9,8.6,0.5671205,0.285634299,43.2416667,18.6167,10.5,37.8,160,37,735.5765448,583.4932114,30.41666667,30.41666667,80.9416667,65,91.8,26.8,1375.241016,1375.241016,179.1666667,2290,1530.48379,0.058236245,0.087136499,13.5,6,88.8335,28.87,100,0.809999991,0.452000001,9.131999174,8.7,8.4,18,45.2,1.604,23,30,47,12,3,33,14.51666667,84.76282897
213,40.1,-88.23,226,Low,United States,North America,United States,"Mooney_etal_81_old-field - Mooney, H. A., Field, C., Gulmon, S. L. & Bazzaz, F. A. Photosynthetic capacity in relation to leaf position in desert versus old-field annuals. Oecologia 50, 109-112 (1981).",Abutilon theophrastii,Angio,Caryophyllales,Amaranthaceae,Abutilon,album,H,N,187.75,338.75,18.575,3.73,2.0475,981.591,48.5,113.2,0.25232041,0.147061776,71.1166667,10.7333,-4.6,23.9,111,28,349.4760463,238.5203155,24,20.41666667,56.6916667,40.3,69.2,28.9,979.4737325,901.7240833,136.6666667,1083,975.4425977,0.906362881,1.006303168,13.5,2,0.3,13.85,85.7,0.1,1.514500004,10.89750015,15.05,6.2,18,48.8,1.554,24,44,32,3,14,61,35.6706,13.15263338
214,-33.83,18.83,600,High,South Africa,Africa,South Africa,"Mooney_etal83_Jonk_Mtn - Mooney, H. A., Field, C., Gulmon, S. L., Rundel, P. & Kruger, F. J. Photosynthetic characteristics of South African sclerophylls. Oecologia 58, 398-401 (1983).",Maytenus oleodes,Angio,Proteales,Proteaceae,Protea,acaulos,S,E,48.75916808,37.2944328,7.817777783,1.208333333,2.505,2500,15.6,97.9,0.64896467,0.418929261,69.525,16.9583,12,22,121,55,518.1393679,366.0560346,30.41666667,30.41666667,70.625,56.9,81.7,24.8,1302.300313,1302.300313,188.0833333,1428,1287.891166,1.75070028,1.941157716,4.95,2.31,44.736,3.437,62.47,0.031,0.746000004,11.18999913,9.95,6.3,15,18.75,1.265,29,18,53,10,9,15,12.26845638,305.8836903
215,9.16,-79.85,20,Very Low,Panama,Central America,Panama,"Mulkey, S. S., Smith, A. P. & Wright, S. J. Comparative life history and physiology of two understory neotropical herbs. Oecologia 88, 263-273 (1991).
Mulkey, S. S., Wright, S. J. & Smith, A. P. Comparative physiology and demography of three Neotropical forest shrubs: alternative shade-adaptive character syndromes. Oecologia 96, 526-536 (1993).",Calathea inocephala,Angio,Gentiales,Rubiaceae,Psychotria,furcata,S,E,190.7035472,89.6,4.74,1.64,0.88279,2892.876,25,371.4,0.60175131,0.325660169,84.4833333,25.9083,25.6,27.9,67,73,808.783162,656.6998287,30.41666667,30.41666667,48.925,41.1,63.1,22,1212.594043,1212.594043,178.9166667,1402,1411.354114,2.063392297,2.049716618,20.15,1.85,9.8715,5.505,63.4,12.78149997,1.295749999,11.54375045,12,5,17,20.35,1.27,32,32,35,15,20,182,124.3666667,10
216,-33.666667,150.633333,265,Low,AgnesBanks,Oceania,Australia,"Niinemets, U., Wright, I.J. & Evans, J.R. (2009) Leaf mesophyll diffusion conductance in 35 Australian sclerophylls covering a broad range of foliage structural and physiological variation. Journal of Experimental Botany, 60(8), 2433-2449.",Banksia aemula,Angio,Proteales,Proteaceae,Banksia,aemula,T,E,56.25551763,28.64626247,3.986898877,0.56138889,1.03060524,1106,46.1,148.7,0.36077386,0.222285,60.0166667,15.7,9.1,22,125,49,488.3317397,336.2484063,30.41666667,30.41666667,56.9083333,52.1,65.7,13.6,1119.27228,1119.27228,164,1327,1072.753168,0.83345893,1.030992054,11.4,1.7,17.236,12.52,77.7,0.699999992,0.3,10.16249968,14,6,15,51.9,1.206,33,21,46,11,19,76,9.2,132.9537297
217,-33.666667,150.75,40,Very Low,Castlereagh,Oceania,Australia,"Niinemets, U., Wright, I.J. & Evans, J.R. (2009) Leaf mesophyll diffusion conductance in 35 Australian sclerophylls covering a broad range of foliage structural and physiological variation. Journal of Experimental Botany, 60(8), 2433-2449.",Acacia falcata,Angio,Myrtales,Myrtaceae,Eucalyptus,falcata,S,E,58.54845852,28.77305225,4.345818023,1.064916465,1.902567668,897,39.8,122.2,0.33826389,0.209642409,60.5916667,17.1,10.1,22.7,126,50,514.974403,362.8910697,30.41666667,30.41666667,57.2083333,51.2,67.1,15.9,1113.625413,1113.625413,164,1354,1074.840468,0.662481536,0.834542441,4.4,3.5,3.025,10.015,79.85,0.149999998,0.59,10.01149972,13.35,6.3,15,37.45,1.287,31,16,53,12,11,76,22.2,10
218,-33.45,151.06,9,Very Low,MUforest,Oceania,Australia,"Niinemets, U., Wright, I.J. & Evans, J.R. (2009) Leaf mesophyll diffusion conductance in 35 Australian sclerophylls covering a broad range of foliage structural and physiological variation. Journal of Experimental Botany, 60(8), 2433-2449.",Acacia longifolia,Angio,Apiales,Araliaceae,Acacia,longifolia,S,E,89.2245533,71.06382983,6.62079061,1.724166667,1.952645843,1065,53.2,154.3,0.33193316,0.200931463,61.3416667,17.5,10.5,22.4,115,49,513.4910023,361.4076689,30.41666667,30.41666667,56.9916667,51.4,66.2,14.8,1113.005913,1113.005913,166.0833333,1330,1071.042309,0.80075188,0.994358472,34.15,1.7,27.77198301,2.975,38.8,0.1,1.068500005,11.99799944,12.7,5.6,11,22.15,1.25,28,12,60,13,15,76,9.2,112.4244778
219,-33.86,151.21,33,Very Low,SydhiP,Australia,Australia,"Niinemets, U., Wright, I.J. & Evans, J.R. (2009) Leaf mesophyll diffusion conductance in 35 Australian sclerophylls covering a broad range of foliage structural and physiological variation. Journal of Experimental Botany, 60(8), 2433-2449.",Astrotricha floccosa,Angio,Myrtales,Myrtaceae,Astrotricha,communis,T,E,74.29088105,52.52676793,6.758291316,1.008750001,1.443590036,1309,61.6,152.6,0.30986897,0.14513965,62.075,17.6,12.4,22.6,92,47,545.0218183,392.9384849,30.41666667,30.41666667,56.875,50.9,67,16.1,1110.523795,1110.523795,162.0833333,1357,1088.592337,0.964627856,1.202470342,21.15,1.3,10.1125,10.26,51.4,0.12,2.6,9.52,12.8,6.1,13,47.7,1.349,15,14,71,13,16,76,22.2,50
220,-33.86,151.21,33,Very Low,SydloP,Australia,Australia,"Niinemets, U., Wright, I.J. & Evans, J.R. (2009) Leaf mesophyll diffusion conductance in 35 Australian sclerophylls covering a broad range of foliage structural and physiological variation. Journal of Experimental Botany, 60(8), 2433-2449.",Acacia myrtifolia,Angio,Proteales,Proteaceae,Banksia,australasius,S,E,52.34902129,35.657185,6.325572415,0.82359972,1.547751838,1309,61.6,152.6,0.30939002,0.14513965,61.5333333,17.6,12.4,22.6,92,47,545.0218183,392.9384849,30.41666667,30.41666667,56.8666667,50.9,67,16.1,1110.523798,1110.523798,162.0833333,1357,1088.592337,0.964627856,1.202470323,21.15,1.3,10.1125,6.26,31.4,0.12,0.3,10.16,12.8,4.9,13,47.7,1.349,15,14,71,13,16,76,5.2,50
222,51.15,18.06,150,Very Low,Poland,Europe,Poland,"OleksynPol_Siemanice - Oleksyn, J., Karolewski, P., Giertych, M.J., Zytkowiak, R., Reich, P.B. & Tjoelker, M.G. (1998) Primary and secondary host plants differ in leaf-level photosynthetic response to herbivory: evidence from Altus and Betula grazed by the alder beetle, Agelastica alni. New Phytologist, 140(2), 239-249.
Oleksyn, J., Zytkowiak, R., Reich, P.B., Tjoelker, M.G. & Karolewski, P. (2000) Ontogenetic patterns of leaf CO2 exchange, morphology and chemistry in Betula pendula trees. Trees, 14, 271-281.
",Abies alba,Angio,Piles,Piceae,Acer,abies,T,D,122.3935963,75.42827929,7.380985578,1.700714286,1.953205537,564.507,28.5,82.5,0.38919389,0.234840939,79.8416667,8.44167,-3,18,86,29,263.4026958,156.4853253,23.91666667,19,31.775,15.4,44.7,29.3,685.4291488,623.4157561,113.6666667,650,608.7522344,0.868472308,0.927318099,18,0.75,19.36226036,6.72,51.75,0.1,1.561999983,16.58350122,15.8,6.2,10,59.5,1.34,10,21,69,7,22,50,94.58973333,9.704589345
224,1.93333333,-67.05,90,Very Low,San Carlos ba,South America,Venezuela,"Reich Peter B., unpublished work",Neea obovata,Angio,Caryophyllales,Nyctagiceae,Neea,obovata,T,E,76.87666667,49.42857143,6.500952381,0.809047619,1.068543926,3171,173.1,411.5,0.31843526,0.199817866,84.675,26.3,26,27.5,133,93,817.3996447,665.3163113,30.41666667,30.41666667,43.6,35.3,50.1,14.8,1162.530351,1162.530351,154.3333333,1334,1367.125747,2.377061469,2.319464623,16.4,2.1,13.53965091,1.105,17.75,8.297000024,4.052999997,12.13199863,23,4.1,7,52.05,1.215,21,17,62,9,27,110,23,2.251429738
225,1.93333333,-67.05,90,Very Low,San Carlos caat,South America,Venezuela,"Reich Peter B., unpublished work",Eperua leucantha,Angio,Malpighiales,Fabaceae,Eperua,leucantha,T,E,112.6954167,41.56458333,3.815833333,1.072291667,1.01587998,3171,173.1,411.5,0.31843526,0.199817866,84.675,26.3,26,27.5,133,93,817.3996447,665.3163113,30.41666667,30.41666667,43.6,35.3,50.1,14.8,1162.530433,1162.530433,154.3333333,1334,1367.125838,2.377061469,2.319464139,16.4,2.1,13.53965091,1.105,17.75,8.297000024,4.052999997,12.13199863,23,4.1,7,52.05,1.215,21,17,62,9,27,110,21.58333333,2.251429738
226,1.93333333,-67.05,90,Very Low,San Carlos TFsoil,South America,Venezuela,"Reich Peter B., unpublished work",Protium sp2,Angio,Malpighiales,Fabaceae,Protium,sp2,T,E,133.43725,134.405,9.348875,1.912375,1.497948577,3171,173.1,411.5,0.31843526,0.199817866,84.675,26.3,26,27.5,133,93,817.3996447,665.3163113,30.41666667,30.41666667,43.6,35.3,50.1,14.8,1162.530672,1162.530672,154.3333333,1334,1367.126125,2.377061469,2.319463215,26.4,2.1,13.53965091,1.105,17.75,8.297000024,4.052999997,12.13199863,23,4.1,7,52.05,1.215,21,17,62,9,27,110,2,2.251429738
228,-22,-47.9,710,High,Brazil,South America,Brazil,"Prado, C. H. B. A. & Demoraes, J. A. P. V. Photosynthetic capacity and specific leaf mass in twenty woody species of Cerrado vegetation under field conditions. Photosynthetica 33, 103-112 (1997).",Aegiphila lhotzkia,Angio,Myrtales,Melastomataceae,Miconia,albicans,T,E,66.217,76.35,11.465,1.7445,2.659573515,1470.441,26.3,254.1,0.71717046,0.473550523,69.3166667,20.2333,17,22.8,106,65,615.293684,463.2103507,30.41666667,30.41666667,35.9833333,25.8,43,17.2,999.7537342,999.7537342,130.9166667,1166,1077.408654,1.261098628,1.364794033,19.5,1.4,42.14868576,3.24,33.4,7.935000012,0.96999999,12.03500035,10,5.6,13,10,1.243,42,21,37,7,11,380,2.4472,191.6425945
229,-12.4,130.9,30,Very Low,"NT, Australia",Austrtalia,Austrtalia,"Prior_dry monsoon forest - Prior, L. D., Eamus, D. & Bowman, D. M. J. S. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17, 504-515 (2003).",Ficus racemosa,Angio,Myrtales,Moraceae,Ficus,leucadendra,T,E,130.5,175.8333333,13.91666667,2.371666667,1.824248922,1575.091,0.8,389.3,1.09090028,0.69672658,60.6166667,27.3083,24.6,29.5,108,59,840.59676,688.5134268,30.41666667,30.41666667,70.9583333,45.2,87.6,42.4,1450.778978,1450.778978,185.9166667,1990,1692.684729,0.791503015,0.930528263,5.445,1.6,67.1062,6.83,61.9,0.1,0.865750005,11.55274983,10.02,5.2,8,23.1,1.486,35,21,45,2,7,107,5.954,101.3070424
230,-12.7,131,30,Very Low,"NT, Australia",Austrtalia,Austrtalia,"Prior_open forest - Prior, L. D., Eamus, D. & Bowman, D. M. J. S. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17, 504-515 (2003).",Brachychiton megaphyllus,Angio,Myrtales,Myrtaceae,Eucalyptus,careya,T,E,84.46666667,96,11.43333333,1.492222222,1.746554568,1575.091,0.8,389.3,1.09090028,0.69672658,60.6166667,27.3083,24.6,29.5,108,59,840.59676,688.5134268,30.41666667,30.41666667,70.9583333,45.2,87.6,42.4,1450.779013,1450.779013,185.9166667,1990,1692.684753,0.791503015,0.93052825,5.445,1.6,67.1062,6.83,61.9,0.1,0.865750005,11.55274983,10.02,5.6,8,23.1,1.426,33,22,45,4,11,107,5.954,101.3070424
231,-12.7,131,30,Very Low,"NT, Australia",Austrtalia,Austrtalia,"Prior_swamp - Prior, L. D., Eamus, D. & Bowman, D. M. J. S. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17, 504-515 (2003).",Acacia auriculiformis,Angio,Myrtales,Myrtaceae,Acacia,auriculiformis,T,E,74,89.33333333,12.3,1.35,1.717838823,1575.091,0.8,389.3,1.09090028,0.69672658,60.6166667,27.3083,24.6,29.5,108,59,840.59676,688.5134268,30.41666667,30.41666667,70.9583333,45.2,87.6,42.4,1450.779015,1450.779015,185.9166667,1990,1692.684774,0.791503015,0.93052825,5.445,1.6,67.1062,6.83,61.9,0.1,0.865750005,11.55274983,10.02,5.6,8,23.1,1.426,33,22,45,4,11,107,5.954,101.3070424
232,-12.7,131,30,Very Low,"NT, Australia",Austrtalia,Austrtalia,"Prior_woodland - Prior, L. D., Eamus, D. & Bowman, D. M. J. S. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17, 504-515 (2003).",Callitris intratropica,Angio,Myrtales,Myrtaceae,Callitris,careya,T,E,79.25,84,10.9125,1.23125,1.691971714,1575.091,0.8,389.3,1.09090028,0.69672658,60.6166667,27.3083,24.6,29.5,108,59,840.59676,688.5134268,30.41666667,30.41666667,70.9583333,45.2,87.6,42.4,1450.779013,1450.779013,185.9166667,1990,1692.684751,0.791503015,0.930528251,5.445,1.6,67.1062,6.83,61.9,0.1,0.865750005,11.55274983,10.02,5.6,8,23.1,1.426,33,22,45,4,11,107,5.954,101.3070424
233,40.05,-105.6,3360,Very High,United States,North America,United States,"Reichetal_Colorado - Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Abies lasiocarpa,Angio,Piles,Piceae,Salix,bistortoides,T,E,96.05,82.74,7.975,2.135,2.47485686,959,26.4,53.2,0.2014657,0.109358871,51.8166667,-1.5,-10.1,12.1,131,38,108.0009123,43.684792,15.08333333,10.41666667,66.625,62.3,70.3,8,795.4694636,579.6788019,141.9166667,1006,955.594111,0.953280318,1.003564098,5,1.7,40.2245,12.99,75.1,0.1,1.315499995,12.33999859,13.65,5.6,14,60.4,1.263,12,32,56,47,48,60,15.19333333,107.3611464
234,35.5,-83.5,775,High,United States,North America,United States,"Reichetal_N_Carolina - Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Acer rubrum,Angio,Ericales,Piceae,Pinus,aphylla,T,E,172.3769231,142.8538462,7.703846154,2.094230769,1.347368211,1740.396,102.6,164.6,0.11388989,0.053211706,72.8833333,11.5667,1.2,21.8,140,42,363.7363803,229.0597291,30.41666667,23,56.0416667,45.6,62.2,16.6,1140.382782,983.0510925,145.5,1085,1044.61986,1.604051613,1.666056719,35.1,1,23.19337972,3.64,42.6,0.1,0.905999999,10.7415009,13.9,4.6,12,20.6,1.323,23,36,41,18,53,203,12.82333333,3.240113071
235,34,-107,1620,Very High,United States,North America,United States,"Reichetal_New_Mexico - Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Atriplex canescens,Angio,Asterales,Asteraceae,Atriplex,angustifolia,T,D,57.17114722,92.46666667,14.11111111,2.003333333,4.502453732,272.092,8.4,53.5,0.7500796,0.425017045,43.775,13.475,2.2,24.3,185,47,406.8676634,265.1993537,30.41666667,24.33333333,79.125,75.2,85.3,10.1,1428.851266,1263.305633,178.6666667,1621,1387.267545,0.167854411,0.196135189,4.7,4.8,100.8275,21.21,99.1,0.869999987,0.879000004,9.25899948,10.8,7.6,18,45.7,1.504,21,29,50,14,10,168,10.8,124.5980172
