SITECODE,Latitude,Longitude,ELEV,ELEV_Cate,Location,Continent,Country,Cite,Genus.spp,TaxGroup,Order,Family,Genus,Species,GF,DecEv,SLA,Amass,Aarea,Nmass,Narea,PPTmean,PPTmin,PPTmax,PPTcv,PPTseason,RH,TMPmean,TMPmin,TMPmax,TMPrange,TMPiso,TMP0gs,TMP5gs,TMP0nb,TMP5nb,SUNmean,SUNmin,SUNmax,SUNrange,PAR0,PAR5,RAD,PETf,PETq,Mif,Miq,ALU,SODIUM,CARB,TBA,SBA,SALT,Ntot,CN,AWHC,pH,CECS,CECC,BULK,CLAY,SILT,SAND,GRAVEL,Corg,DEPTH,Pavail,P.Distance
166,34.88,98.25,4229,Very High,Central Tibetan Plateau Transect site Q26,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Kobresia kansuensis,Angio,Poales,Cyperaceae,Kobresia,kansuensis,G,N,99.009901,40,3.7,2.29,2.31,425,2.7,78.4,0.98595192,0.624259868,42.1416667,-3.8,-16.8,7.4,137,36,59.32685088,10.16414596,12.58333333,6.5,64.7583333,54.7,75.4,20.7,672.7892742,354.4511913,156.4166667,817,937.212199,0.520195838,0.453472544,25,2,108.7514269,8.6,71,0.1,1.385499963,17.71902823,18.5,6.5,23,31,1.276,21,27,52,5,39.4,160,76.67649065,5
167,34.2,97.66,5249,Very High,Central Tibetan Plateau Transect site Q31,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Potentilla nivia,Angio,Asterales,Asteraceae,Potentilla,medusa,H,N,166.4534533,100,5.9,2.7,1.62,534,3.6,106,0.98107838,0.622836979,43.3083333,-9.69,-18.9,4.6,138,38,27.47016129,0,9.583333333,0,63.625,53,74.7,21.7,523.3124228,0,155.4166667,738,932.7579993,0.723577236,0.572495756,25,3.25,177.84,8.6,71,0.1,1.117500003,9.892500071,11,5.7,22,31,1.211,21,28,50,7,15.9,150,55.07666709,5
168,33.76,97.02,4589,Very High,Central Tibetan Plateau Transect site Q32,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Kobresia capillifolia,Angio,Poales,Cyperaceae,Kobresia,capillifolia,G,N,188.679245,110,5.8,2.71,1.44,473,3.6,120.2,0.99697541,0.633161794,44.725,-4.05,-17,6.2,142,39,44.84960338,3.205341089,11.5,4.25,62.7083333,52.3,73.6,21.3,612.6811113,230.1542477,155.75,777,929.7768511,0.608751609,0.508724216,25,3.25,177.84,8.6,71,0.1,1.117500003,9.892500071,11,6,25,31,1.213,23,29,47,7,21.1,150,38.29750001,5
169,34.1,96.2,4363,Very High,Central Tibetan Plateau Transect site Q35,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Gentia farrerii,Angio,Gentiales,Gentiaceae,Gentia,cristata,G,N,144.0165175,135,9.8,2.715,1.92,468,3.1,107.2,1.02246363,0.646001889,46.225,-2.99,-16.7,6.3,142,38,45.06497003,3.744205006,11.41666667,4.416666667,64.5083333,53.6,75.9,22.3,613.911655,240.3711824,156,780,921.1266907,0.6,0.508073431,13,1,177.84,25.8,100,0.199999997,1.117500003,9.892500071,11,6.6,20,67,1.253,23,45,33,15,32.2,150,106.2357822,5
170,33.02,96.91,3901,Very High,Central Tibetan Plateau Transect site Q44,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Artemisia sieversia,Angio,Asterales,Asteraceae,Artemisia,sieversia,H,N,202.020202,150,7.6,3.75,1.86,514,2.6,119.4,1.01544388,0.646138305,45.7666667,0.63,-12.8,8.5,150,42,76.69270668,18.40623128,14.33333333,8.666666667,61.0583333,50.7,72.2,21.5,729.556566,449.5240591,155.75,847,957.1287723,0.606847698,0.537022828,25,3.25,177.84,8.6,71,0.199999997,1.117500003,9.892500071,11,6.8,19,31,1.248,22,36,42,31,26.7,150,75.01530807,5
171,32.59,96.56,3958,Very High,Central Tibetan Plateau Transect site Q48,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Delphinium caeruleum,Angio,Lamiales,Ranunculaceae,Delphinium,alaschanica,H,N,150.4395555,245,18,2.65,1.82,505,2.5,120.2,1.03518476,0.656551213,47.05,0.72,-10.3,10,148,42,102.7893575,34.43976732,16.25,11,60.2,49.8,71.5,21.7,812.2679227,566.5791999,154.0833333,887,1017.934965,0.569334837,0.496102419,25,2,177.84,8.6,98,0.1,1.117500003,9.892500071,11,6.9,18,84,1.213,24,35,41,14,18.8,150,89.16645748,5
172,31.97,96.53,4167,Very High,Central Tibetan Plateau Transect site X01,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Gphalium affine,Angio,Asterales,Asteraceae,Gphalium,affine,H,N,156.494523,330,21.7,3.83,2.45,494,3.2,124.3,1.02042388,0.647800495,47.4166667,0.05,-9.8,9.8,145,42,101.6394941,33.50834655,16.16666667,11,58.6333333,47.7,70.7,23,799.2249647,557.7569298,153.4166667,886,1028.380501,0.557562077,0.480366945,9.075,2,84.8137,8.6,98,0.1,1.627249985,10.95070053,12.85,6.7,23,84,1.156,21,36,43,17,26.9,150,65.43000102,5
173,32,96.39,4191,Very High,Central Tibetan Plateau Transect site X02,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Potentilla glabra,Angio,Rosales,Rosaceae,Potentilla,glabra,H,N,73.313783,100,14.6,1.7,2.32,489,3.4,126.5,1.01385773,0.643378013,47.9166667,-0.11,-10.6,9.1,145,42,90.19290942,26.08525913,15.41666667,10,58.9916667,47.8,71.3,23.5,767.1334023,508.1303935,154.25,871,1009.560404,0.561423651,0.484369234,9.075,2,84.8137,8.6,98,0.1,1.627249985,10.95070053,12.85,6.6,21,84,1.158,23,35,42,12,26.9,150,65.43000102,5
174,31.1,96.51,4631,Very High,Central Tibetan Plateau Transect site X03,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Areria kansuensis,Angio,Lamiales,Scrophulariaceae,Areria,adpressus,H,N,136.5050451,133.3333333,9.766666667,1.983333333,1.548333333,468,4,126.9,0.96483056,0.616760307,48.5833333,-1.87,-9.7,9,139,43,91.16449408,26.20861978,15.58333333,10.16666667,57.1333333,44.8,70.6,25.8,762.7699217,507.6101833,152.1666667,874,1044.401051,0.535469108,0.448103719,9.075,2.33,84.8137,8.6,71,0.1,1.627249985,10.95070053,12.85,5.7,29,31,1.237,23,29,48,11,30.2,150,37.15499938,5
175,31.7,94.96,4336,Very High,Central Tibetan Plateau Transect site X04,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Caraga sp,Angio,Caryophyllales,Caprifoliaceae,Caraga,acetosa,S,D,167.4629163,228.3333333,13.46666667,2.95,1.801666667,451,4.3,133.4,0.99245805,0.62727799,53.1166667,-0.58,-13.3,7.1,134,40,60.05650009,8.89584435,13.08333333,6.916666667,61.4916667,48.2,75.1,26.9,669.0476731,356.9202759,155.75,814,970.3526713,0.554054054,0.46477946,9.075,1,84.8137,13.8,85,0.1,1.627249985,10.95070053,12.85,6.1,21,36,1.268,20,38,42,20,48.6,150,42.31249988,5
176,31.84,93.79,4014,Very High,Central Tibetan Plateau Transect site X06,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Lonicera hispida,Angio,Dipsacales,Caprifoliaceae,Lonicera,hispida,V,N,77.5193798,70,9.7,2.82,3.63,445,3.8,130.6,1.05078685,0.656350172,57.275,1.25,-11.5,9.9,138,39,99.20246783,33.44864269,15.66666667,10.5,63.6916667,50.2,76.9,26.7,805.1845048,549.302765,157.1666667,862,1040.869541,0.516241299,0.427527161,9.075,2,84.8137,8.6,90,0.1,1.627249985,10.95070053,12.85,7.4,14,84,1.256,24,39,37,21,34.4,150,30.97000003,5
